nationality,constructor_count
British,86
American,39
Italian,29
French,13
German,10
Japanese,5
Swiss,5
Dutch,3
South African,3
Russian,2
Malaysian,2
Canadian,2
Indian,1
Austrian,1
Hong Kong,1
Irish,1
Mexican,1
Brazilian,1
New Zealander,1
Australian,1
Rhodesian,1
Belgian,1
East German,1
Spanish,1
