constructorId,constructor_name,races,entries,top3_finishes,top3_rate
142,Turner,1,1,0,0.0
143,Del Roy,1,1,0,0.0
144,Veritas,6,18,0,0.0
145,BMW,2,6,0,0.0
146,EMW,1,1,0,0.0
147,AFM,4,7,0,0.0
148,Frazer Nash,4,4,0,0.0
149,Sherman,2,2,0,0.0
151,ERA,7,13,0,0.0
152,Aston Butterworth,4,4,0,0.0
153,Cisitalia,1,1,0,0.0
155,Hall,1,1,0,0.0
156,Marchese,2,2,0,0.0
157,Langley,1,1,0,0.0
158,Rae,1,1,0,0.0
159,Olson,1,1,0,0.0
160,Wetteroth,1,1,0,0.0
161,Adams,1,2,0,0.0
162,Snowberger,1,1,0,0.0
163,Milano,1,1,0,0.0
164,HRT,58,116,0,0.0
166,Virgin,38,76,0,0.0
168,Cooper-OSCA,1,1,0,0.0
169,Cooper-Borgward,2,3,0,0.0
171,Cooper-Castellotti,5,6,0,0.0
173,Lotus-Maserati,2,2,0,0.0
174,De Tomaso-Osca,3,3,0,0.0
175,De Tomaso-Alfa Romeo,2,3,0,0.0
177,Lotus-Borgward,2,2,0,0.0
178,Cooper-Alfa Romeo,1,1,0,0.0
179,De Tomaso-Ferrari,1,1,0,0.0
184,LDS-Climax,2,2,0,0.0
185,LDS-Alfa Romeo,1,2,0,0.0
186,Cooper-Ford,2,2,0,0.0
188,McLaren-Serenissima,2,2,0,0.0
189,Eagle-Climax,13,13,0,0.0
192,Cooper-Ferrari,2,2,0,0.0
193,Cooper-ATS,1,1,0,0.0
194,McLaren-BRM,14,14,0,0.0
197,BRM-Ford,1,1,0,0.0
198,McLaren-Alfa Romeo,10,11,0,0.0
199,March-Alfa Romeo,8,10,0,0.0
201,Lotus-Pratt &amp; Whitney,3,3,0,0.0
203,Shadow-Matra,2,2,0,0.0
204,Brabham-Alfa Romeo,29,59,0,0.0
205,Lotus,38,76,0,0.0
206,Marussia,55,109,0,0.0
207,Caterham,56,112,0,0.0
209,Manor Marussia,39,78,0,0.0
210,Haas F1 Team,156,312,0,0.0
